6_VIRAT_S_000101_23_15566_15694_.avi_1 0,4,9,13,18,22,26,31,35,39,44,48,53,57,61,66,70,74,79,83,88,92,96,101,105,109,114,118,123,127
4_VIRAT_S_000101_28_17189_17274_.avi_1 0,3,6,9,12,14,17,20,23,26,29,32,35,38,41,43,46,49,52,55,58,61,64,67,70,72,75,78,81,84
3_VIRAT_S_000101_26_17034_17108_.avi_1 0,3,5,8,10,13,15,18,20,23,25,28,30,33,35,38,40,43,45,48,50,53,55,58,60,63,65,68,70,73
6_VIRAT_S_000101_12_8216_8368_.avi_1 0,5,10,16,21,26,31,36,42,47,52,57,62,68,73,78,83,89,94,99,104,109,115,120,125,130,135,141,146,151
9_VIRAT_S_000101_13_8485_8776_.avi_1 0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290
9_VIRAT_S_000101_37_12615_16221_.avi_1 0,124,249,373,497,622,746,870,994,1119,1243,1367,1492,1616,1740,1865,1989,2113,2238,2362,2486,2611,2735,2859,2983,3108,3232,3356,3481,3605
7_VIRAT_S_000101_0_1616_1667_.avi_1 0,2,3,5,7,9,10,12,14,16,17,19,21,22,24,26,28,29,31,33,34,36,38,40,41,43,45,47,48,50
7_VIRAT_S_000101_36_19292_19461_.avi_1 0,6,12,17,23,29,35,41,46,52,58,64,70,75,81,87,93,98,104,110,116,122,127,133,139,145,151,156,162,168
5_VIRAT_S_000101_30_17418_17582_.avi_1 0,6,11,17,22,28,34,39,45,51,56,62,67,73,79,84,90,96,101,107,112,118,124,129,135,141,146,152,157,163
7_VIRAT_S_000101_18_12675_12746_.avi_1 0,2,5,7,10,12,14,17,19,22,24,27,29,31,34,36,39,41,43,46,48,51,53,56,58,60,63,65,68,70
9_VIRAT_S_000101_6_2530_3662_.avi_1 0,39,78,117,156,195,234,273,312,351,390,429,468,507,546,585,624,663,702,741,780,819,858,897,936,975,1014,1053,1092,1131
11_VIRAT_S_000101_11_7233_7422_.avi_1 0,6,13,19,26,32,39,45,52,58,65,71,78,84,91,97,104,110,117,123,130,136,143,149,156,162,169,175,182,188
9_VIRAT_S_000101_15_9627_9759_.avi_1 0,5,9,14,18,23,27,32,36,41,45,50,54,59,63,68,72,77,81,86,90,95,99,104,108,113,117,122,126,131
7_VIRAT_S_000101_21_13063_13703_.avi_1 0,22,44,66,88,110,132,154,176,198,220,242,264,286,308,331,353,375,397,419,441,463,485,507,529,551,573,595,617,639
7_VIRAT_S_000101_32_4573_4638_.avi_1 0,2,4,7,9,11,13,15,18,20,22,24,26,29,31,33,35,38,40,42,44,46,49,51,53,55,57,60,62,64
7_VIRAT_S_000101_24_15670_15735_.avi_1 0,2,4,7,9,11,13,15,18,20,22,24,26,29,31,33,35,38,40,42,44,46,49,51,53,55,57,60,62,64
7_VIRAT_S_000101_10_5410_7820_.avi_1 0,83,166,249,332,415,498,581,665,748,831,914,997,1080,1163,1246,1329,1412,1495,1578,1661,1744,1828,1911,1994,2077,2160,2243,2326,2409
7_VIRAT_S_000101_22_13733_13802_.avi_1 0,2,5,7,9,12,14,16,19,21,23,26,28,30,33,35,38,40,42,45,47,49,52,54,56,59,61,63,66,68
7_VIRAT_S_000101_19_12774_12850_.avi_1 0,3,5,8,10,13,16,18,21,23,26,28,31,34,36,39,41,44,47,49,52,54,57,59,62,65,67,70,72,75
9_VIRAT_S_000101_16_9759_9893_.avi_1 0,5,9,14,18,23,28,32,37,41,46,50,55,60,64,69,73,78,83,87,92,96,101,105,110,115,119,124,128,133
7_VIRAT_S_000101_31_0_620_.avi_1 0,21,43,64,85,107,128,149,171,192,213,235,256,277,299,320,342,363,384,406,427,448,470,491,512,534,555,576,598,619
7_VIRAT_S_000101_7_2756_2776_.avi_1 0,1,1,2,3,3,4,5,5,6,7,7,8,9,9,10,10,11,12,12,13,14,14,15,16,16,17,18,18,19
2_VIRAT_S_000101_14_9520_9627_.avi_1 0,4,7,11,15,18,22,26,29,33,37,40,44,48,51,55,58,62,66,69,73,77,80,84,88,91,95,99,102,106
7_VIRAT_S_000101_3_2125_2156_.avi_1 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
7_VIRAT_S_000101_25_16712_16916_.avi_1 0,7,14,21,28,35,42,49,56,63,70,77,84,91,98,105,112,119,126,133,140,147,154,161,168,175,182,189,196,203
7_VIRAT_S_000101_4_2096_2116_.avi_1 0,1,1,2,3,3,4,5,5,6,7,7,8,9,9,10,10,11,12,12,13,14,14,15,16,16,17,18,18,19
2_VIRAT_S_000101_27_17095_17202_.avi_1 0,4,7,11,15,18,22,26,29,33,37,40,44,48,51,55,58,62,66,69,73,77,80,84,88,91,95,99,102,106
7_VIRAT_S_000101_20_12880_12922_.avi_1 0,1,3,4,6,7,8,10,11,13,14,16,17,18,20,21,23,24,25,27,28,30,31,33,34,35,37,38,40,41
9_VIRAT_S_000101_1_1800_2253_.avi_1 0,16,31,47,62,78,94,109,125,140,156,171,187,203,218,234,249,265,281,296,312,327,343,358,374,390,405,421,436,452
9_VIRAT_S_000101_29_17301_17584_.avi_1 0,10,19,29,39,49,58,68,78,88,97,107,117,126,136,146,156,165,175,185,194,204,214,224,233,243,253,263,272,282
5_VIRAT_S_000101_8_2819_3058_.avi_1 0,8,16,25,33,41,49,57,66,74,82,90,98,107,115,123,131,140,148,156,164,172,181,189,197,205,213,222,230,238
9_VIRAT_S_000101_34_16200_16821_.avi_1 0,21,43,64,86,107,128,150,171,192,214,235,257,278,299,321,342,363,385,406,428,449,470,492,513,534,556,577,599,620
6_VIRAT_S_000101_2_2036_2162_.avi_1 0,4,9,13,17,22,26,30,34,39,43,47,52,56,60,65,69,73,78,82,86,91,95,99,103,108,112,116,121,125
11_VIRAT_S_000101_9_3752_3836_.avi_1 0,3,6,9,11,14,17,20,23,26,29,31,34,37,40,43,46,49,52,54,57,60,63,66,69,72,74,77,80,83
2_VIRAT_S_000101_5_2483_2541_.avi_1 0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,29,31,33,35,37,39,41,43,45,47,49,51,53,55,57
7_VIRAT_S_000101_33_5235_5279_.avi_1 0,1,3,4,6,7,9,10,12,13,15,16,18,19,21,22,24,25,27,28,30,31,33,34,36,37,39,40,42,43
7_VIRAT_S_000101_35_18236_18752_.avi_1 0,18,36,53,71,89,107,124,142,160,178,195,213,231,249,266,284,302,320,337,355,373,391,408,426,444,462,479,497,515
5_VIRAT_S_000101_17_9948_10084_.avi_1 0,5,9,14,19,23,28,33,37,42,47,51,56,61,65,70,74,79,84,88,93,98,102,107,112,116,121,126,130,135
